"","Gene symbol","Gene names","up_regulate","down_regulate","n_literature","up_down","percentage"
"2060","CLUH","clustered mitochondria (cluA/CLU1) homolog",1,2,3,"down",0.666666666666667
"2061","CLUL1","clusterin like 1",1,0,1,"up",1
"2062","CLYBL","citrate lyase beta like",1,0,1,"up",1
"2063","CMAHP","cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene",1,1,2,"down",0.5
"2064","CMAS","cytidine monophospho-N-acetylneuraminic acid synthetase",1,2,3,"down",0.666666666666667
"2065","CMBL","carboxymethylenebutenolidase-like (Pseudomonas)",1,0,1,"up",1
"2066","CMC2","COX assembly mitochondrial protein 2",0,2,2,"down",1
"2067","CMC4","C-x(9)-C motif containing 4",1,1,2,"down",0.5
"2068","CMIP","c-Maf inducing protein",1,0,1,"up",1
"2069","CMKLR1","chemokine-like receptor 1",1,2,3,"down",0.666666666666667
"2070","CMPK1","cytidine monophosphate (UMP-CMP) kinase 1",2,0,2,"up",1
"2071","CMPK2","cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial",2,0,2,"up",1
"2072","CMSS1","cms small ribosomal subunit 1",0,2,2,"down",1
"2073","CMTM3","CKLF-like MARVEL transmembrane domain containing 3",2,0,2,"up",1
"2074","CMTM4","CKLF-like MARVEL transmembrane domain containing 4",1,0,1,"up",1
"2075","CMTM5","CKLF-like MARVEL transmembrane domain containing 5",0,1,1,"down",1
"2076","CMTM6","CKLF-like MARVEL transmembrane domain containing 6",1,0,1,"up",1
"2077","CMTM7","CKLF-like MARVEL transmembrane domain containing 7",1,1,2,"down",0.5
"2078","CMTR1","cap methyltransferase 1",0,1,1,"down",1
"2079","CMYA5","cardiomyopathy associated 5",3,1,4,"up",0.75
"2080","CNBP","cellular nucleic acid binding protein",1,0,1,"up",1
"2081","CNDP2","CNDP dipeptidase 2 (metallopeptidase M20 family)",0,2,2,"down",1
"2082","CNFN","cornifelin",1,0,1,"up",1
"2083","CNGA1","cyclic nucleotide gated channel alpha 1",1,0,1,"up",1
"2084","CNGA3","cyclic nucleotide gated channel alpha 3",0,1,1,"down",1
"2085","CNGB1","cyclic nucleotide gated channel beta 1",0,2,2,"down",1
"2086","CNIH1","cornichon family AMPA receptor auxiliary protein 1",1,1,2,"down",0.5
"2087","CNIH2","cornichon family AMPA receptor auxiliary protein 2",0,1,1,"down",1
"2088","CNIH3","cornichon family AMPA receptor auxiliary protein 3",5,0,5,"up",1
"2089","CNIH4","cornichon family AMPA receptor auxiliary protein 4",1,2,3,"down",0.666666666666667
"2090","CNKSR1","connector enhancer of kinase suppressor of Ras 1",0,1,1,"down",1
"2091","CNKSR2","connector enhancer of kinase suppressor of Ras 2",1,1,2,"down",0.5
"2092","CNMD","chondromodulin",0,0,0,"down",NA
"2093","CNN1","calponin 1",2,0,2,"up",1
"2094","CNN2","calponin 2",2,1,3,"up",0.666666666666667
"2095","CNNM1","cyclin M1",0,1,1,"down",1
"2096","CNNM2","cyclin M2",1,1,2,"down",0.5
"2097","CNNM3","cyclin M3",1,0,1,"up",1
"2098","CNOT10","CCR4-NOT transcription complex, subunit 10",0,1,1,"down",1
"2099","CNOT3","CCR4-NOT transcription complex, subunit 3",0,1,1,"down",1
"2100","CNOT6","CCR4-NOT transcription complex, subunit 6",0,4,4,"down",1
"2101","CNOT6L","CCR4-NOT transcription complex, subunit 6-like",0,2,2,"down",1
"2102","CNOT8","CCR4-NOT transcription complex, subunit 8",1,1,2,"down",0.5
"2103","CNOT9","CCR4-NOT transcription complex, subunit 9",0,0,0,"down",NA
"2104","CNPPD1","cyclin Pas1/PHO80 domain containing 1",1,0,1,"up",1
"2105","CNPY2","canopy FGF signaling regulator 2",0,1,1,"down",1
"2106","CNPY3","canopy FGF signaling regulator 3",1,1,2,"down",0.5
"2107","CNPY4","canopy FGF signaling regulator 4",1,0,1,"up",1
"2108","CNR1","cannabinoid receptor 1 (brain)",0,1,1,"down",1
"2109","CNRIP1","cannabinoid receptor interacting protein 1",0,1,1,"down",1
"2110","CNTFR","ciliary neurotrophic factor receptor",1,1,2,"down",0.5
"2111","CNTLN","centlein, centrosomal protein",0,2,2,"down",1
"2112","CNTN1","contactin 1",1,1,2,"down",0.5
"2113","CNTN2","contactin 2",0,1,1,"down",1
"2114","CNTN3","contactin 3",0,2,2,"down",1
"2115","CNTN4","contactin 4",1,1,2,"down",0.5
"2116","CNTNAP1","contactin associated protein-like 1",4,0,4,"up",1
"2117","CNTNAP2","contactin associated protein-like 2",1,1,2,"down",0.5
"2118","CNTNAP3","contactin associated protein-like 3",1,1,2,"down",0.5
"2119","CNTNAP3B","contactin associated protein family member 3B",1,1,2,"down",0.5
"2120","CNTRL","centriolin",0,4,4,"down",1
"2121","CNTROB","centrobin, centrosomal BRCA2 interacting protein",0,1,1,"down",1
"2122","COA8","cytochrome c oxidase assembly factor 8",0,0,0,"down",NA
"2123","COBL","cordon-bleu WH2 repeat",0,1,1,"down",1
"2124","COBLL1","Cobl-like 1",2,1,3,"up",0.666666666666667
"2125","COCH","cochlin",2,1,3,"up",0.666666666666667
"2126","COG1","component of oligomeric golgi complex 1",2,1,3,"up",0.666666666666667
"2127","COG3","component of oligomeric golgi complex 3",1,0,1,"up",1
"2128","COG4","component of oligomeric golgi complex 4",0,1,1,"down",1
"2129","COG5","component of oligomeric golgi complex 5",1,1,2,"down",0.5
"2130","COG6","component of oligomeric golgi complex 6",2,1,3,"up",0.666666666666667
"2131","COG7","component of oligomeric golgi complex 7",1,0,1,"up",1
"2132","COL10A1","collagen, type X, alpha 1",3,2,5,"up",0.6
"2133","COL11A1","collagen, type XI, alpha 1",2,0,2,"up",1
"2134","COL11A2","collagen, type XI, alpha 2",1,0,1,"up",1
"2135","COL12A1","collagen, type XII, alpha 1",3,1,4,"up",0.75
"2136","COL13A1","collagen, type XIII, alpha 1",1,2,3,"down",0.666666666666667
"2137","COL14A1","collagen, type XIV, alpha 1",0,3,3,"down",1
"2138","COL15A1","collagen, type XV, alpha 1",3,0,3,"up",1
"2139","COL16A1","collagen, type XVI, alpha 1",1,1,2,"down",0.5
"2140","COL17A1","collagen, type XVII, alpha 1",0,2,2,"down",1
"2141","COL18A1","collagen, type XVIII, alpha 1",2,1,3,"up",0.666666666666667
"2142","COL19A1","collagen, type XIX, alpha 1",3,0,3,"up",1
"2143","COL1A1","collagen, type I, alpha 1",9,9,18,"down",0.5
"2144","COL1A2","collagen, type I, alpha 2",4,2,6,"up",0.666666666666667
"2145","COL21A1","collagen type XXI alpha 1 chain",0,1,1,"down",1
"2146","COL22A1","collagen, type XXII, alpha 1",2,0,2,"up",1
"2147","COL24A1","collagen, type XXIV, alpha 1",3,0,3,"up",1
"2148","COL25A1","collagen, type XXV, alpha 1",1,0,1,"up",1
"2149","COL26A1","collagen, type XXVI, alpha 1",1,2,3,"down",0.666666666666667
"2150","COL27A1","collagen, type XXVII, alpha 1",1,1,2,"down",0.5
"2151","COL28A1","collagen, type XXVIII, alpha 1",2,1,3,"up",0.666666666666667
"2152","COL2A1","collagen, type II, alpha 1",2,3,5,"down",0.6
"2153","COL3A1","collagen, type III, alpha 1",5,4,9,"up",0.555555555555556
"2154","COL4A1","collagen, type IV, alpha 1",3,1,4,"up",0.75
"2155","COL4A2","collagen, type IV, alpha 2",3,1,4,"up",0.75
"2156","COL4A4","collagen, type IV, alpha 4",3,0,3,"up",1
"2157","COL4A5","collagen, type IV, alpha 5",3,1,4,"up",0.75
"2158","COL4A6","collagen, type IV, alpha 6",0,3,3,"down",1
"2159","COL5A1","collagen, type V, alpha 1",3,1,4,"up",0.75
"2160","COL5A2","collagen, type V, alpha 2",1,1,2,"down",0.5
"2161","COL5A3","collagen, type V, alpha 3",1,3,4,"down",0.75
"2162","COL6A1","collagen, type VI, alpha 1",4,2,6,"up",0.666666666666667
"2163","COL6A2","collagen, type VI, alpha 2",3,0,3,"up",1
"2164","COL6A3","collagen, type VI, alpha 3",2,2,4,"down",0.5
"2165","COL7A1","collagen, type VII, alpha 1",4,1,5,"up",0.8
"2166","COL8A1","collagen, type VIII, alpha 1",2,4,6,"down",0.666666666666667
"2167","COL8A2","collagen, type VIII, alpha 2",3,0,3,"up",1
"2168","COL9A1","collagen, type IX, alpha 1",1,1,2,"down",0.5
"2169","COL9A2","collagen, type IX, alpha 2",2,1,3,"up",0.666666666666667
"2170","COL9A3","collagen, type IX, alpha 3",1,1,2,"down",0.5
"2171","COLEC11","collectin sub-family member 11",1,0,1,"up",1
"2172","COLEC12","collectin sub-family member 12",3,1,4,"up",0.75
"2173","COLGALT1","collagen beta(1-O)galactosyltransferase 1",2,1,3,"up",0.666666666666667
"2174","COLGALT2","collagen beta(1-O)galactosyltransferase 2",1,0,1,"up",1
"2175","COLQ","collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase",1,0,1,"up",1
"2176","COMMD10","COMM domain containing 10",0,1,1,"down",1
"2177","COMMD2","COMM domain containing 2",0,2,2,"down",1
"2178","COMMD4","COMM domain containing 4",1,1,2,"down",0.5
"2179","COMMD5","COMM domain containing 5",1,0,1,"up",1
"2180","COMMD6","COMM domain containing 6",1,1,2,"down",0.5
"2181","COMMD7","COMM domain containing 7",0,1,1,"down",1
"2182","COMMD8","COMM domain containing 8",1,1,2,"down",0.5
"2183","COMP","cartilage oligomeric matrix protein",2,3,5,"down",0.6
"2184","COMT","catechol-O-methyltransferase",2,0,2,"up",1
"2185","COMTD1","catechol-O-methyltransferase domain containing 1",1,1,2,"down",0.5
"2186","COP1","COP1, E3 ubiquitin ligase",0,0,0,"down",NA
"2187","COPA","coatomer protein complex subunit alpha",1,0,1,"up",1
"2188","COPB1","coatomer protein complex, subunit beta 1",2,0,2,"up",1
"2189","COPB2","coatomer protein complex, subunit beta 2 (beta prime)",1,0,1,"up",1
"2190","COPE","coatomer protein complex, subunit epsilon",2,1,3,"up",0.666666666666667
"2191","COPG1","coatomer protein complex, subunit gamma 1",0,1,1,"down",1
"2192","COPRS","coordinator of PRMT5, differentiation stimulator",0,2,2,"down",1
"2193","COPS2","COP9 signalosome subunit 2",1,0,1,"up",1
"2194","COPS3","COP9 signalosome subunit 3",0,1,1,"down",1
"2195","COPS5","COP9 signalosome subunit 5",1,3,4,"down",0.75
"2196","COPS7A","COP9 signalosome subunit 7A",1,0,1,"up",1
"2197","COPS7B","COP9 signalosome subunit 7B",1,0,1,"up",1
"2198","COPS8","COP9 signalosome subunit 8",1,0,1,"up",1
"2199","COPZ2","coatomer protein complex, subunit zeta 2",2,1,3,"up",0.666666666666667
"2200","COQ10A","coenzyme Q10A",2,0,2,"up",1
"2201","COQ10B","coenzyme Q10B",2,0,2,"up",1
"2202","COQ2","coenzyme Q2 4-hydroxybenzoate polyprenyltransferase",0,2,2,"down",1
"2203","COQ3","coenzyme Q3 methyltransferase",0,3,3,"down",1
"2204","COQ4","coenzyme Q4",1,0,1,"up",1
"2205","COQ5","coenzyme Q5 methyltransferase",0,1,1,"down",1
"2206","COQ6","coenzyme Q6 monooxygenase",1,0,1,"up",1
"2207","COQ8A","coenzyme Q8A",1,0,1,"up",1
"2208","COQ9","coenzyme Q9",1,0,1,"up",1
"2209","CORIN","corin, serine peptidase",0,1,1,"down",1
"2210","CORO1A","coronin, actin binding protein 1A",0,3,3,"down",1
"2211","CORO1B","coronin, actin binding protein 1B",2,0,2,"up",1
"2212","CORO1C","coronin, actin binding protein 1C",1,0,1,"up",1
"2213","CORO2A","coronin, actin binding protein 2A",1,1,2,"down",0.5
"2214","CORO2B","coronin, actin binding protein, 2B",1,1,2,"down",0.5
"2215","CORO6","coronin 6",2,0,2,"up",1
"2216","CORO7","coronin 7",0,2,2,"down",1
"2217","CORT","cortistatin",1,0,1,"up",1
"2218","COTL1","coactosin-like 1 (Dictyostelium)",1,3,4,"down",0.75
"2219","COX1","cytochrome c oxidase subunit I",0,0,0,"down",NA
"2220","COX14","cytochrome c oxidase assembly protein 14",2,0,2,"up",1
"2221","COX17","cytochrome c oxidase assembly protein 17, copper chaperone",5,1,6,"up",0.833333333333333
"2222","COX19","cytochrome c oxidase assembly protein 19",1,1,2,"down",0.5
"2223","COX2","cytochrome c oxidase subunit II",2,0,2,"up",1
"2224","COX20","cytochrome c oxidase assembly protein 20",0,1,1,"down",1
"2225","COX3","cytochrome c oxidase III",0,0,0,"down",NA
"2226","COX4I1","cytochrome c oxidase subunit 4I1",2,0,2,"up",1
"2227","COX5A","cytochrome c oxidase subunit 5A",2,0,2,"up",1
"2228","COX5B","cytochrome c oxidase subunit 5B",1,0,1,"up",1
"2229","COX6A2","cytochrome c oxidase subunit 6A2",3,0,3,"up",1
"2230","COX6B1","cytochrome c oxidase, subunit 6B1",1,0,1,"up",1
"2231","COX6B2","cytochrome c oxidase subunit 6B2",2,0,2,"up",1
"2232","COX7A1","cytochrome c oxidase subunit 7A1",2,0,2,"up",1
"2233","COX7A2L","cytochrome c oxidase subunit 7A2 like",1,0,1,"up",1
"2234","COX8A","cytochrome c oxidase subunit 8A",1,1,2,"down",0.5
"2235","CP","ceruloplasmin",1,0,1,"up",1
"2236","CPA4","carboxypeptidase A4",5,1,6,"up",0.833333333333333
"2237","CPA5","carboxypeptidase A5",1,0,1,"up",1
"2238","CPA6","carboxypeptidase A6",1,0,1,"up",1
"2239","CPAMD8","C3 and PZP like alpha-2-macroglobulin domain containing 8",1,0,1,"up",1
"2240","CPD","carboxypeptidase D",2,1,3,"up",0.666666666666667
"2241","CPE","carboxypeptidase E",4,4,8,"down",0.5
"2242","CPEB1","cytoplasmic polyadenylation element binding protein 1",5,0,5,"up",1
"2243","CPEB2","cytoplasmic polyadenylation element binding protein 2",4,0,4,"up",1
"2244","CPEB4","cytoplasmic polyadenylation element binding protein 4",1,0,1,"up",1
"2245","CPED1","cadherin-like and PC-esterase domain containing 1",1,0,1,"up",1
"2246","CPLANE1","ciliogenesis and planar polarity effector 1",0,0,0,"down",NA
"2247","CPM","carboxypeptidase M",0,4,4,"down",1
"2248","CPNE1","copine I",1,0,1,"up",1
"2249","CPNE2","copine II",2,1,3,"up",0.666666666666667
"2250","CPNE3","copine III",1,0,1,"up",1
"2251","CPNE4","copine IV",1,0,1,"up",1
"2252","CPNE5","copine V",2,0,2,"up",1
"2253","CPNE7","copine VII",2,0,2,"up",1
"2254","CPOX","coproporphyrinogen oxidase",1,0,1,"up",1
"2255","CPPED1","calcineurin-like phosphoesterase domain containing 1",1,0,1,"up",1
"2256","CPQ","carboxypeptidase Q",3,0,3,"up",1
"2257","CPS1","carbamoyl-phosphate synthetase 1",0,2,2,"down",1
"2258","CPSF1","cleavage and polyadenylation specific factor 1",1,0,1,"up",1
"2259","CPSF2","cleavage and polyadenylation specific factor 2",0,1,1,"down",1
"2260","CPSF6","cleavage and polyadenylation specific factor 6",0,2,2,"down",1
"2261","CPSF7","cleavage and polyadenylation specific factor 7",0,1,1,"down",1
"2262","CPT1A","carnitine palmitoyltransferase 1a, liver",2,1,3,"up",0.666666666666667
"2263","CPT1B","carnitine palmitoyltransferase 1b, muscle",1,1,2,"down",0.5
"2264","CPT1C","carnitine palmitoyltransferase 1c",3,1,4,"up",0.75
"2265","CPT2","carnitine palmitoyltransferase 2",1,0,1,"up",1
"2266","CPTP","ceramide-1-phosphate transfer protein",2,0,2,"up",1
"2267","CPVL","carboxypeptidase, vitellogenic-like",1,0,1,"up",1
"2268","CPXM1","carboxypeptidase X 1 (M14 family)",0,2,2,"down",1
"2269","CPXM2","carboxypeptidase X 2 (M14 family)",1,1,2,"down",0.5
"2270","CPZ","carboxypeptidase Z",1,0,1,"up",1
"2271","CRABP1","cellular retinoic acid binding protein I",1,0,1,"up",1
"2272","CRABP2","cellular retinoic acid binding protein II",3,1,4,"up",0.75
"2273","CRACD","capping protein inhibiting regulator of actin",0,0,0,"down",NA
"2274","CRACR2A","calcium release activated channel regulator 2A",0,1,1,"down",1
"2275","CRACR2B","calcium release activated channel regulator 2B",0,0,0,"down",NA
"2276","CRADD","CASP2 and RIPK1 domain containing adaptor with death domain",1,2,3,"down",0.666666666666667
"2277","CRAMP1","cramped chromatin regulator homolog 1",0,0,0,"down",NA
"2278","CRAT","carnitine acetyltransferase",1,1,2,"down",0.5
"2279","CRB1","crumbs family member 1, photoreceptor morphogenesis associated",0,2,2,"down",1
"2280","CRB2","crumbs family member 2",0,1,1,"down",1
"2281","CRBN","cereblon",1,0,1,"up",1
"2282","CRCP","calcitonin gene-related peptide-receptor component protein",0,1,1,"down",1
"2283","CRCT1","cysteine-rich C-terminal 1",1,0,1,"up",1
"2284","CREB1","cAMP responsive element binding protein 1",0,2,2,"down",1
"2285","CREB3","cAMP responsive element binding protein 3",1,0,1,"up",1
"2286","CREB3L1","cAMP responsive element binding protein 3-like 1",2,0,2,"up",1
"2287","CREB3L2","cAMP responsive element binding protein 3-like 2",1,1,2,"down",0.5
"2288","CREB3L4","cAMP responsive element binding protein 3-like 4",1,1,2,"down",0.5
"2289","CREB5","cAMP responsive element binding protein 5",0,1,1,"down",1
"2290","CREBBP","CREB binding protein",1,2,3,"down",0.666666666666667
"2291","CREBL2","cAMP responsive element binding protein-like 2",1,0,1,"up",1
"2292","CREBRF","CREB3 regulatory factor",2,0,2,"up",1
"2293","CREBZF","CREB/ATF bZIP transcription factor",1,1,2,"down",0.5
"2294","CREG1","cellular repressor of E1A-stimulated genes 1",3,0,3,"up",1
"2295","CRELD1","cysteine-rich with EGF-like domains 1",3,0,3,"up",1
"2296","CRELD2","cysteine-rich with EGF-like domains 2",1,1,2,"down",0.5
"2297","CREM","cAMP responsive element modulator",2,2,4,"down",0.5
"2298","CRH","corticotropin releasing hormone",0,1,1,"down",1
"2299","CRHBP","corticotropin releasing hormone binding protein",2,0,2,"up",1
"2300","CRIM1","cysteine rich transmembrane BMP regulator 1 (chordin like)",3,1,4,"up",0.75
"2301","CRIP1","cysteine-rich protein 1 (intestinal)",0,1,1,"down",1
"2302","CRIP2","cysteine rich protein 2",1,1,2,"down",0.5
"2303","CRISP3","cysteine-rich secretory protein 3",1,0,1,"up",1
"2304","CRISPLD1","cysteine-rich secretory protein LCCL domain containing 1",0,2,2,"down",1
"2305","CRISPLD2","cysteine-rich secretory protein LCCL domain containing 2",2,0,2,"up",1
"2306","CRKL","v-crk avian sarcoma virus CT10 oncogene homolog-like",1,1,2,"down",0.5
"2307","CRLF1","cytokine receptor-like factor 1",3,2,5,"up",0.6
"2308","CRLF3","cytokine receptor-like factor 3",1,1,2,"down",0.5
"2309","CRMP1","collapsin response mediator protein 1",2,0,2,"up",1
"2310","CRNDE","colorectal neoplasia differentially expressed (non-protein coding)",0,1,1,"down",1
"2311","CRNKL1","crooked neck pre-mRNA splicing factor 1",0,1,1,"down",1
"2312","CROCC","ciliary rootlet coiled-coil, rootletin",1,1,2,"down",0.5
"2313","CROCCP2","CROCC pseudogene 2",0,1,1,"down",1
"2314","CROCCP3","CROCC pseudogene 3",1,0,1,"up",1
"2315","CROT","carnitine O-octanoyltransferase",3,0,3,"up",1
"2316","CRP","C-reactive protein, pentraxin-related",1,0,1,"up",1
"2317","CRSP8P","mediator complex subunit 27 pseudogene",0,1,1,"down",1
"2318","CRTAC1","cartilage acidic protein 1",1,0,1,"up",1
"2319","CRTAP","cartilage associated protein",1,1,2,"down",0.5
"2320","CRTC1","CREB regulated transcription coactivator 1",0,0,0,"down",NA
"2321","CRTC2","CREB regulated transcription coactivator 2",1,0,1,"up",1
"2322","CRY1","cryptochrome 1 (photolyase-like)",0,1,1,"down",1
"2323","CRY2","cryptochrome 2 (photolyase-like)",1,0,1,"up",1
"2324","CRYAB","crystallin, alpha B",5,1,6,"up",0.833333333333333
"2325","CRYBG1","crystallin beta-gamma domain containing 1",0,1,1,"down",1
"2326","CRYBG2","crystallin beta-gamma domain containing 2",1,0,1,"up",1
"2327","CRYGS","crystallin, gamma S",1,0,1,"up",1
"2328","CRYL1","crystallin, lambda 1",2,0,2,"up",1
"2329","CRYM","crystallin, mu",2,0,2,"up",1
"2330","CRYZ","crystallin, zeta",0,2,2,"down",1
"2331","CRYZL1","crystallin, zeta (quinone reductase)-like 1",0,1,1,"down",1
"2332","CRYZL2P","crystallin zeta like 2, pseudogene",0,1,1,"down",1
"2333","CS","citrate synthase",0,1,1,"down",1
"2334","CSAD","cysteine sulfinic acid decarboxylase",2,0,2,"up",1
"2335","CSDE1","cold shock domain containing E1, RNA binding",0,1,1,"down",1
"2336","CSE1L","chromosome segregation 1-like (S. cerevisiae)",1,2,3,"down",0.666666666666667
"2337","CSF1","colony stimulating factor 1 (macrophage)",5,0,5,"up",1
"2338","CSF1R","colony stimulating factor 1 receptor",1,2,3,"down",0.666666666666667
"2339","CSF2","colony stimulating factor 2 (granulocyte-macrophage)",11,2,13,"up",0.846153846153846
"2340","CSF2RB","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)",1,2,3,"down",0.666666666666667
"2341","CSF3","colony stimulating factor 3 (granulocyte)",7,1,8,"up",0.875
"2342","CSGALNACT1","chondroitin sulfate N-acetylgalactosaminyltransferase 1",1,1,2,"down",0.5
"2343","CSGALNACT2","chondroitin sulfate N-acetylgalactosaminyltransferase 2",1,1,2,"down",0.5
"2344","CSH2","chorionic somatomammotropin hormone 2",0,0,0,"down",NA
"2345","CSKMT","citrate synthase lysine methyltransferase",0,1,1,"down",1
"2346","CSMD2","CUB and Sushi multiple domains 2",2,0,2,"up",1
"2347","CSMD3","CUB and Sushi multiple domains 3",1,1,2,"down",0.5
"2348","CSN1S1","casein alpha s1",1,0,1,"up",1
"2349","CSNK1A1","casein kinase 1, alpha 1",2,2,4,"down",0.5
"2350","CSNK1D","casein kinase 1, delta",1,0,1,"up",1
"2351","CSNK1E","casein kinase 1, epsilon",1,0,1,"up",1
"2352","CSNK1G1","casein kinase 1, gamma 1",1,0,1,"up",1
"2353","CSNK2A1","casein kinase 2, alpha 1 polypeptide",5,5,10,"down",0.5
"2354","CSNK2B","casein kinase 2, beta polypeptide",1,0,1,"up",1
"2355","CSPG4","chondroitin sulfate proteoglycan 4",5,1,6,"up",0.833333333333333
"2356","CSPG5","chondroitin sulfate proteoglycan 5",2,0,2,"up",1
"2357","CSPP1","centrosome and spindle pole associated protein 1",0,1,1,"down",1
"2358","CSRNP1","cysteine-serine-rich nuclear protein 1",1,2,3,"down",0.666666666666667
"2359","CSRNP2","cysteine-serine-rich nuclear protein 2",1,1,2,"down",0.5
"2360","CSRNP3","cysteine-serine-rich nuclear protein 3",1,0,1,"up",1
"2361","CSRP1","cysteine and glycine-rich protein 1",3,1,4,"up",0.75
"2362","CSRP2","cysteine and glycine-rich protein 2",1,3,4,"down",0.75
"2363","CSRP3","cysteine and glycine-rich protein 3",1,2,3,"down",0.666666666666667
"2364","CST1","cystatin SN",2,0,2,"up",1
"2365","CST2","cystatin SA",2,0,2,"up",1
"2366","CST3","cystatin C",4,2,6,"up",0.666666666666667
"2367","CST4","cystatin S",2,0,2,"up",1
"2368","CST6","cystatin E/M",1,2,3,"down",0.666666666666667
"2369","CSTA","cystatin A",2,0,2,"up",1
"2370","CSTB","cystatin B",3,0,3,"up",1
"2371","CSTF2","cleavage stimulation factor, 3' pre-RNA subunit 2",0,1,1,"down",1
"2372","CSTF2T","cleavage stimulation factor, 3' pre-RNA subunit 2, tau",1,1,2,"down",0.5
"2373","CSTF3","cleavage stimulation factor, 3' pre-RNA, subunit 3",0,1,1,"down",1
"2374","CTAGE1","cutaneous T cell lymphoma-associated antigen 1",0,1,1,"down",1
"2375","CTBP1","C-terminal binding protein 1",0,1,1,"down",1
"2376","CTBP1-AS","CTBP1 antisense RNA",1,0,1,"up",1
"2377","CTBP2","C-terminal binding protein 2",0,2,2,"down",1
"2378","CTCF","CCCTC-binding factor",0,2,2,"down",1
"2379","CTCFL","CCCTC-binding factor (zinc finger protein)-like",0,1,1,"down",1
"2380","CTD-2297D10.2","uncharacterized LOC101929176",0,1,1,"down",1
"2381","CTDP1","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1",1,0,1,"up",1
"2382","CTDSP2","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2",0,3,3,"down",1
"2383","CTDSPL","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like",3,0,3,"up",1
"2384","CTDSPL2","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2",1,1,2,"down",0.5
"2385","CTF1","cardiotrophin 1",1,0,1,"up",1
"2386","CTH","cystathionase (cystathionine gamma-lyase)",0,2,2,"down",1
"2387","CTHRC1","collagen triple helix repeat containing 1",4,2,6,"up",0.666666666666667
"2388","CTIF","CBP80/20-dependent translation initiation factor",1,0,1,"up",1
"2389","CTLA4","cytotoxic T-lymphocyte-associated protein 4",1,0,1,"up",1
"2390","CTNNA1","catenin (cadherin associated protein), alpha 1",1,0,1,"up",1
"2391","CTNNAL1","catenin (cadherin associated protein), alpha-like 1",0,4,4,"down",1
"2392","CTNNB1","catenin (cadherin associated protein), beta 1",7,2,9,"up",0.777777777777778
"2393","CTNNBIP1","catenin beta interacting protein 1",1,1,2,"down",0.5
"2394","CTNND1","catenin (cadherin associated protein), delta 1",0,2,2,"down",1
"2395","CTNND2","catenin (cadherin associated protein), delta 2",1,1,2,"down",0.5
"2396","CTPS1","CTP synthase 1",1,2,3,"down",0.666666666666667
"2397","CTPS2","cytidine 5'-triphosphate synthase 2",0,2,2,"down",1
"2398","CTR9","CTR9 homolog, Paf1/RNA polymerase II complex component",0,1,1,"down",1
"2399","CTRL","chymotrypsin-like",0,1,1,"down",1
"2400","CTSA","cathepsin A",1,0,1,"up",1
"2401","CTSB","cathepsin B",6,2,8,"up",0.75
"2402","CTSC","cathepsin C",0,2,2,"down",1
"2403","CTSD","cathepsin D",4,2,6,"up",0.666666666666667
"2404","CTSF","cathepsin F",2,1,3,"up",0.666666666666667
"2405","CTSH","cathepsin H",3,0,3,"up",1
"2406","CTSK","cathepsin K",3,3,6,"down",0.5
"2407","CTSL","cathepsin L",2,0,2,"up",1
"2408","CTSO","cathepsin O",1,0,1,"up",1
"2409","CTSS","cathepsin S",5,0,5,"up",1
"2410","CTSV","cathepsin V",2,1,3,"up",0.666666666666667
"2411","CTSZ","cathepsin Z",4,1,5,"up",0.8
"2412","CTTN","cortactin",2,0,2,"up",1
"2413","CTTNBP2","cortactin binding protein 2",0,2,2,"down",1
"2414","CTTNBP2NL","CTTNBP2 N-terminal like",1,1,2,"down",0.5
"2415","CTU2","cytosolic thiouridylase subunit 2",0,1,1,"down",1
"2416","CTXN1","cortexin 1",1,0,1,"up",1
"2417","CUBN","cubilin (intrinsic factor-cobalamin receptor)",2,1,3,"up",0.666666666666667
"2418","CUL4B","cullin 4B",1,1,2,"down",0.5
"2419","CUL7","cullin 7",0,1,1,"down",1
"2420","CUL9","cullin 9",1,1,2,"down",0.5
"2421","CUTA","cutA divalent cation tolerance homolog",2,0,2,"up",1
"2422","CUTALP","cutA divalent cation tolerance like, pseudogene",1,0,1,"up",1
"2423","CUTC","cutC copper transporter",1,0,1,"up",1
"2424","CUX1","cut-like homeobox 1",0,3,3,"down",1
"2425","CUZD1","CUB and zona pellucida-like domains 1",0,1,1,"down",1
"2426","CWC22","CWC22 spliceosome-associated protein",0,1,1,"down",1
"2427","CWC25","CWC25 spliceosome-associated protein",0,1,1,"down",1
"2428","CWC27","CWC27 spliceosome-associated protein",0,1,1,"down",1
"2429","CWF19L1","CWF19-like 1, cell cycle control (S. pombe)",0,1,1,"down",1
"2430","CWF19L2","CWF19-like 2, cell cycle control (S. pombe)",0,1,1,"down",1
"2431","CX3CL1","chemokine (C-X3-C motif) ligand 1",4,0,4,"up",1
